,trade_date,ts_code,name_x,industry_x,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date_x,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num,open,high,low,close,pre_close,change,pct_chg,vol,amount,symbol,name_y,industry_y,list_date_y
0,20250514,000001.SZ,平安银行,银行,深圳,3.93,194.06,194.06,57778.58,0.0,83.99,807.09,4.16,0.62,22.48,0.51,19910403,2556.21,13.17,-13.05,-5.6,50.16,41.82,504267,11.29,11.47,11.25,11.43,11.29,0.14,1.24,1683513.58,1912995.433,000001,平安银行,银行,19910403
1,20250514,000002.SZ,万 科Ａ,全国地产,深圳,0.0,97.17,119.31,12440.39,8833.34,200.8,280.03,2.35,-0.53,16.49,0.42,19910129,378.92,3.18,-38.31,-1625.63,6.1,-16.88,548580,6.86,6.94,6.81,6.89,6.86,0.03,0.4373,740035.92,508125.289,000002,万科A,全国地产,19910129
2,20250514,000004.SZ,*ST国华,软件服务,深圳,0.0,1.26,1.32,2.91,1.53,0.12,12.32,9.31,-0.09,0.4,21.47,19901201,-13.26,-10.01,18.68,-8.71,61.14,-67.02,39521,8.76,8.95,8.32,8.48,8.53,-0.05,-0.5862,147589.51,127007.992,000004,*ST国华,软件服务,19910114
3,20250514,000006.SZ,深振业Ａ,区域地产,深圳,0.0,13.5,13.5,154.34,135.23,0.61,4.84,0.36,-0.02,3.98,1.66,19920427,13.65,1.01,540.28,2.49,16.52,-1.49,74404,6.58,6.66,6.43,6.6,6.49,0.11,1.6949,364452.98,239173.783,000006,深振业A,区域地产,19920427
4,20250514,000007.SZ,全新好,其他商业,深圳,355.79,3.46,3.46,3.11,2.06,0.44,1.57,0.45,0.01,0.52,13.95,19920413,-3.3,-0.95,120.41,176.56,11.56,1.68,13097,7.29,7.33,7.19,7.28,7.29,-0.01,-0.1372,70791.0,51321.033,000007,全新好,其他商业,19920413
5,20250514,000008.SZ,神州高铁,运输设备,北京,0.0,27.16,27.16,99.98,44.81,4.76,26.41,0.97,-0.02,1.1,2.61,19920507,-24.5,-0.9,23.62,12.33,30.85,-18.56,122297,2.9,2.91,2.84,2.87,2.89,-0.02,-0.692,1151439.99,329251.912,000008,神州高铁,运输设备,19920507
6,20250514,000009.SZ,中国宝安,电气设备,深圳,31.14,25.51,25.79,552.29,305.67,147.75,14.57,0.56,0.07,3.92,2.08,19910625,56.89,2.21,-2.72,138.19,28.25,8.62,162999,8.13,8.19,8.05,8.14,8.16,-0.02,-0.2451,163275.81,132423.271,000009,中国宝安,电气设备,19910625
7,20250514,000010.SZ,美丽生态,建筑工程,深圳,0.0,5.26,11.5,28.09,21.72,0.07,20.91,1.82,-0.005,0.26,11.09,19951027,-28.16,-2.45,76.2,76.47,18.12,-4.43,38081,2.86,2.87,2.82,2.85,2.86,-0.01,-0.3497,122922.0,35072.515,000010,美丽生态,建筑工程,19951027
8,20250514,000011.SZ,深物业A,房产服务,深圳,250.92,5.26,5.96,160.14,140.33,0.48,0.8,0.14,0.01,5.65,1.49,19920330,25.67,4.31,21.35,979.82,25.84,0.64,36330,8.38,8.45,8.26,8.43,8.37,0.06,0.7168,34476.0,28821.163,000011,深物业A,房产服务,19920330
9,20250514,000012.SZ,南 玻Ａ,玻璃,深圳,233.16,19.59,30.71,319.75,102.54,130.99,5.91,0.19,0.005,4.41,1.09,19920228,82.4,2.68,-22.25,-95.12,13.34,0.3,133308,4.79,4.83,4.76,4.82,4.79,0.03,0.6263,116861.86,56093.28,000012,南玻A,玻璃,19920228
10,20250514,000014.SZ,沙河股份,全国地产,深圳,0.0,2.42,2.42,21.7,18.01,0.19,0.1,0.04,-0.04,6.67,1.63,19920602,10.73,4.43,-96.23,-120.56,30.32,-121.05,20207,10.9,11.03,10.68,10.86,10.91,-0.05,-0.4583,45785.2,49456.565,000014,沙河股份,全国地产,19920602
11,20250514,000016.SZ,深康佳Ａ,家用电器,深圳,33.84,15.97,24.08,297.94,121.32,49.39,3.87,0.16,0.04,0.98,5.42,19920327,-17.03,-0.71,3.32,118.59,5.62,2.2,168479,5.27,5.37,5.2,5.33,5.3,0.03,0.566,619936.41,329339.659,000016,深康佳A,家用电器,19920327
12,20250514,000017.SZ,深中华A,服饰,深圳,188.2,3.03,6.89,4.44,4.31,0.03,7.98,1.16,0.01,0.51,12.72,19920331,-11.7,-1.7,42.47,83.62,7.93,3.72,55855,6.41,6.46,6.33,6.45,6.45,0.0,0.0,126704.0,81011.939,000017,深中华A,服饰,19920331
13,20250514,000019.SZ,深粮控股,农业综合,深圳,21.3,4.16,11.53,73.63,43.4,19.89,12.72,1.1,0.08,4.35,1.55,19921012,19.69,1.71,14.33,42.97,17.57,7.44,45495,6.71,6.77,6.67,6.75,6.73,0.02,0.2972,85310.21,57455.096,000019,深粮控股,农业综合,19921012
14,20250514,000020.SZ,深华发Ａ,元器件,深圳,142.21,1.81,2.83,7.19,4.7,1.64,1.47,0.52,0.02,1.45,8.23,19920428,-0.98,-0.34,-3.22,9.99,9.37,2.79,23392,12.02,12.11,11.82,11.9,12.0,-0.1,-0.8333,19611.76,23352.432,000020,深华发A,元器件,19920428
15,20250514,000021.SZ,深科技,元器件,深圳,39.99,15.6,15.61,290.33,166.19,57.82,24.87,1.59,0.11,7.79,2.35,19940202,65.47,4.2,7.62,46.91,16.24,6.77,187466,18.28,18.45,18.16,18.34,18.3,0.04,0.2186,168199.08,307992.581,000021,深科技,元器件,19940202
16,20250514,000025.SZ,特 力Ａ,综合类,深圳,53.93,3.93,4.31,25.76,6.93,0.69,4.31,1.0,0.08,4.09,4.19,19930621,8.33,1.93,-56.68,-2.89,20.13,9.59,49957,16.96,17.14,16.87,17.13,17.02,0.11,0.6463,77951.2,132600.678,000025,特力A,综合类,19930621
17,20250514,000026.SZ,飞亚达,服饰,深圳,26.06,3.65,4.06,38.89,28.66,3.73,9.36,2.31,0.11,8.51,1.37,19930603,18.13,4.47,-13.23,-39.99,35.09,4.9,26830,11.52,12.07,11.52,11.64,11.63,0.01,0.086,256512.24,299515.262,000026,飞亚达,服饰,19930603
18,20250514,000027.SZ,深圳能源,火力发电,深圳,5.74,47.57,47.57,1724.35,457.76,666.61,52.09,1.09,0.27,6.86,0.95,19930903,165.61,3.48,1.78,22.31,26.26,16.04,117490,6.52,6.54,6.45,6.52,6.52,0.0,0.0,192002.31,124689.721,000027,深圳能源,火力发电,19930903
